Number,lemma,Category,Level
913,sandalo,(s.m.),A2
914,sapone,(s.m.),A2
915,sbagliare,(v.t.),A2
916,sbaglio,(s.m.),A2
917,scala,(s.f.),A2
918,scegliere,(v.t.),A2
919,sci,(s.m.),A2
920,sciare,(v.int.),A2
921,scienza,(s.f.),A2
922,scomodo,(agg.),A2
923,scontrino,(s.m.),A2
924,scorso,(agg.),A2
925,scrivania,(s.f.),A2
926,scuro,(agg.),A2
927,se,(cong.),A2
928,sedersi,(v. int. pron.),A2
929,segretario/a,(s.m. - s.f.),A2
930,seguire,(v.t.),A2
931,semaforo,(s.m.),A2
932,sembrare,(v.int.),A2
933,sentire/si,(v.t. – v.rifl. recip.),A2
934,separare/si,(v.t. – v.rifl. recip.),A2
935,serio,(agg.),A2
936,seta,(s.f.),A2
937,shampoo,(s.m.),A2
938,sicuro,(agg.),A2
939,sigaro,(s.m.),A2
940,silenzio,(s.m.),A2
941,simile,(agg.),A2
942,singolare,(agg.),A2
943,soccorso,(s.m.),A2
944,soffitto,(s.m.),A2
945,solito,(agg.),A2
946,solo,(agg. - avv.),A2
947,sorpresa,(s.f.),A2
948,sorridere,(v.int.),A2
949,spazzolino,(s.m.),A2
950,specchio,(s.m.),A2
951,spegnere,(v.t.),A2
952,spendere,(v.t.),A2
953,sperare,(v.int.),A2
954,spettacolo,(s.m.),A2
955,spiegare,(v.t.),A2
956,spingere,(v. t.),A2
957,spogliarsi,(v.rifl.),A2
958,sporcare,(v.t.),A2
959,sportivo,(agg.),A2
960,sposare/si,(v.t. – v. rifl. recip.),A2
961,spuntino,(s.m.),A2
962,squadra,(s.f.),A2
963,stadio,(s.m.),A2
964,stamattina,(avv.),A2
965,stanotte,(avv.),A2
966,stanza,(s.f.),A2
967,stasera,(avv.),A2
968,stella,(s.f.),A2
969,stesso,(agg.),A2
970,stirare,(v.t.),A2
971,stiro,(s.m.),A2
972,stivale,(s.m.),A2
973,storia,(s.f.),A2
974,storico,(agg.),A2
975,strano,(agg.),A2
976,studio,(s.m.),A2
977,subito,(avv.),A2
978,succedere,(v.int.),A2
979,sud,(s.m.),A2
980,suo,(agg. - pron.),A2
981,suocero/a,(s.m. - s.f.),A2
982,tabaccaio,(s.m.),A2
983,tagliare,(v.t.),A2
984,tappeto,(s.m.),A2
985,tasca,(s.f.),A2
986,tazza,(s.f.),A2
987,tecnico,(s.m. – s.f.),A2
988,telefonata,(s.f.),A2
989,temperatura,(s.f.),A2
990,tempo,(s.m.),A2
991,temporale,(s.m.),A2
992,tenda,(s.f.),A2
993,tenere,(v.t.),A2
994,tennis,(s.m.),A2
995,terra,(s.f.),A2
996,terrazza,(s.f.),A2
997,testa,(s.f.),A2
998,tetto,(s.m.),A2
999,tiepido,(agg.),A2
1000,timido,(agg.),A2
1001,tirare,(v.t.),A2
1002,toccare,(v.t.),A2
1003,togliere,(v.t.),A2
1004,torta,(s.f.),A2
1005,tortellino,(s.m.),A2
1006,tosse,(s.f.),A2
1007,tovaglia,(s.f.),A2
1008,tovagliolo,(s.m.),A2
1009,tra,(prep.),A2
1010,traffico,(s.m.),A2
1011,tranquillo,(agg.),A2
1012,trascorrere,(v.t.),A2
1013,tuono,(s.m.),A2
1014,uccello,(s.m.),A2
1015,uguale,(agg.),A2
1016,ultimo,(agg.),A2
1017,usare,(v.t.),A2
1018,uscita,(s.f.),A2
1019,utile,(agg.),A2
1020,vasca,(s.f.),A2
1021,vaso,(s.m.),A2
1022,vedere/si,(v.t. - v. rifl. recip.),A2
1023,vedovo,(agg.),A2
1024,veloce,(agg.),A2
1025,vendere,(v.t.),A2
1026,vento,(s.m.),A2
1027,veramente,(avv.),A2
1028,verbo,(s.m.),A2
1029,vestirsi,(v. rifl.),A2
1030,vetrina,(s.f.),A2
1031,vetro,(s.m.),A2
1032,vi,(pron.),A2
1033,viola,(agg.),A2
1034,virgola,(s.f.),A2
1035,voce,(s.f.),A2
1036,voglia,(s.f.),A2
1037,volare,(v.int.),A2
1038,volta,(s.f.),A2
1039,vostro,(agg. - pron.),A2
1040,vuoto,(agg.),A2
1041,water,(s.m.),A2
1042,zio/a,(s.m. - s.f.),A2
1043,abitante,(s.m. - s.f.),B1
1044,accanto,(avv.),B1
1045,accento,(s.m.),B1
1046,accomodarsi,(v.int.pron.),B1
1047,acconto,(s.m.),B1
1048,acido,(agg.),B1
1049,affettuoso,(agg.),B1
1050,aggiungere,(v.t.),B1
1051,aggiustare,(v.t.),B1
1052,aglio,(s.m.),B1
1053,alba,(s.f.),B1
1054,allergico,(agg.),B1
1055,alloggio,(s.m.),B1
1056,almeno,(avv.),B1
1057,ambulanza,(s.f.),B1
1058,ambulatorio,(s.m.),B1
1059,amicizia,(s.f.),B1
1060,ammalarsi,(v.int.pron.),B1
1061,ammobiliato,(agg.),B1
1062,analisi,(s.f.),B1
1063,angolo,(s.m.),B1
1064,annuncio,(s.m.),B1
1065,ansia,(s.f.),B1
1066,ansioso,(agg.),B1
1067,appassionato,(agg.),B1
1068,appunto,(s.m.),B1
1069,asilo,(s.m.),B1
1070,aspro,(agg.),B1
1071,assegno,(s.m.),B1
1072,assolutamente,(avv.),B1
1073,attendere,(v.t.),B1
1074,attentamente,(avv.),B1
1075,attesa,(s.f.),B1
1076,attore/trice,(s.m. - s.f.),B1
1077,avaro,(agg.),B1
1078,avverbio,(s.m.),B1
1079,bagaglio,(s.m.),B1
1080,bagnare/si,(v.t. - v.rifl.),B1
1081,bancomat,(s.m.),B1
1082,banconota,(s.f.),B1
1083,beh,(inter.),B1
1084,bilancia,(s.f.),B1
1085,bilocale,(s.m.),B1
1086,binario,(s.m.),B1
1087,bisognare,(v.int.),B1
1088,bocciare,(v.t.),B1
1089,bollente,(agg.),B1
1090,bollire,(v. int.),B1
1091,breve,(agg.),B1
1092,bruciarsi,(v.t.pron.),B1
1093,buttare,(v.t.),B1
1094,cadere,(v.int.),B1
1095,calma,(s.f.),B1
1096,calmarsi,(v.int.pron.),B1
1097,camion,(s.m.),B1
1098,campo,(s.m.),B1
1099,canale,(s.m.),B1
1100,canguro,(s.m.),B1
1101,cantante,(s.m - s.f.),B1
1102,capace,(agg.),B1
1103,capodanno,(s.m.),B1
1104,caricare,(v.t.),B1
1105,carnevale,(s.m.),B1
1106,cartone,(s.m.),B1
1107,cassettiera,(s.f.),B1
1108,causa,(s.f.),B1
1109,cerotto,(s.m.),B1
1110,certamente,(avv.),B1
1111,cervello,(s.m.),B1
1112,chiacchierare,(v.int.),B1
1113,cimitero,(s.m.),B1
1114,cioè,(cong.),B1
1115,cipolla,(s.f.),B1
1116,classico,(agg.),B1
1117,cliccare,(v.t.),B1
1118,cliente,(s.m. - s.f.),B1
1119,clima,(s.m.),B1
1120,clinica,(s.f.),B1
1121,coincidenza,(s.f.),B1
1122,collegio,(s.m.),B1
1123,collezionare,(v.t.),B1
1124,collezione,(s.f.),B1
1125,colloquio,(s.m.),B1
1126,colpa,(s.f.),B1
1127,commedia,(s.f.),B1
1128,compagnia,(s.f.),B1
1129,compilare,(v.t.),B1
1130,complemento,(s.m.),B1
1131,complicare,(v.t.),B1
1132,comportarsi,(v.int. pron.),B1
1133,Comune,(s.m.),B1
1134,comunicare,(v.t.),B1
1135,comunicazione,(s.f.),B1
1136,comunque,(cong.),B1
1137,concorso,(s.m.),B1
1138,condizionare,(v.t.),B1
1139,condoglianza,(s.f.),B1
1140,condominio,(s.m.),B1
1141,confuso,(agg.),B1
1142,connettersi,(v.rifl.),B1
1143,conoscenza,(s.f.),B1
1144,consegnare,(v.t.),B1
1145,consigliare,(v.t.),B1
1146,consiglio,(s.m.),B1
1147,contante,(s.m.),B1
1148,contattare,(v.t.),B1
1149,contemporaneo,(agg.),B1
1150,copia,(s.f.),B1
1151,coraggio,(inter.),B1
1152,cordiale,(agg.),B1
1153,cordialmente,(avv.),B1
1154,corrente,(agg.),B1
1155,costoso,(agg.),B1
1156,costruire,(v.t.),B1
1157,costruzione,(s.f.),B1
1158,crepare,(v.int.),B1
1159,crudo,(agg.),B1
1160,cui,(pron.),B1
1161,cuocere,(v.t.),B1
1162,cuore,(s.m.),B1
1163,curioso,(agg.),B1
1164,curriculum vitae,(loc.sost.m.),B1
1165,dappertutto,(avv.),B1
1166,davvero,(avv.),B1
1167,decidere,(v.t.),B1
1168,denaro,(s.m.),B1
1169,dentista,(s.m. - s.f.),B1
1170,deprimere,(v.t.),B1
1171,descrivere,(v.t.),B1
1172,dialetto,(s.m.),B1
1173,diario,(s.m.),B1
1174,dieta,(s.f.),B1
1175,differente,(agg.),B1
1176,dipendere,(v.int.),B1
1177,diploma,(s.m.),B1
1178,diplomarsi,(v. int. pron.),B1
1179,direttamente,(avv.),B1
1180,direzione,(s.f.),B1
1181,discesa,(s.f.),B1
1182,disoccupato/a,(agg. - s.m. - s.f.),B1
1183,dispensa,(s.f.),B1
1184,disperare,(v.int),B1
1185,distinto,(agg.),B1
1186,diventare,(v.int.),B1
1187,documentario,(s.m.),B1
1188,dolore,(s.m.),B1
1189,dopodomani,(avv.),B1
1190,dunque,(cong.),B1
1191,duomo,(s.m.),B1
1192,durare,(v.int.),B1
1193,duro,(agg.),B1
1194,eccezionale,(agg.),B1
1195,egoista,(agg.),B1
1196,egregio,(agg.),B1
1197,eh,(inter.),B1
1198,elettricista,(s.m. - s.f.),B1
1199,elicottero,(s.m.),B1
1200,emergenza,(s.f.),B1
1201,emozione,(s.f.),B1
1202,esperienza,(s.f.),B1
1203,esprimere,(v.t.),B1
1204,estroverso,(agg.),B1
1205,famoso,(agg.),B1
1206,fantastico,(agg.),B1
1207,farina,(s.f.),B1
1208,favola,(s.f.),B1
1209,felicità,(s.f.),B1
1210,feria,(s.f.),B1
1211,ferire/si,(v.t. – v.int.pron.),B1
1212,ferita,(s.f.),B1
1213,fermare/si,(v.t. - v.int.pron.),B1
1214,festeggiare,(v.t.),B1
1215,fiction,(s.f.),B1
1216,finale,(agg.),B1
1217,finalmente,(avv.),B1
1218,fontana,(s.f.),B1
1219,forma,(s.f.),B1
1220,forza,(s.f. - inter.),B1
1221,freno,(s.m.),B1
1222,fretta,(s.f.),B1
1223,friggere,(v.t.),B1
1224,frullatore,(s.m.),B1
1225,fumetto,(s.m.),B1
1226,fumo,(s.m.),B1
1227,funzionare,(v.int.),B1
1228,futuro,(s.m.),B1
1229,gara,(s.f.),B1
1230,generalmente,(avv.),B1
1231,genere,(s.m.),B1
1232,generoso,(agg.),B1
1233,gente,(s.f.),B1
1234,giardinaggio,(s.m.),B1
1235,giocatore/trice,(s.m. - s.f.),B1
1236,gioia,(s.f.),B1
1237,grammo,(s.m.),B1
1238,grosso,(agg.),B1
1239,gruppo,(s.m.),B1
1240,guadagnare,(v.t.),B1
1241,guarire,(v.int.),B1
1242,guasto,(agg. - s.m.),B1
1243,gusto,(s.m.),B1
1244,idraulico,(s.m.),B1
1245,immaginare,(v.t.),B1
1246,impaziente,(agg.),B1
1247,impegnare,(v.t.),B1
1248,impegno,(s.m.),B1
1249,impianto,(s.m.),B1
1250,importare,(v.int.),B1
1251,improbabile,(agg.),B1
1252,improvvisamente,(avv.),B1
1253,improvviso,(agg.),B1
1254,incendio,(s.m.),B1
1255,incidente,(s.m.),B1
1256,incominciare,(v.t.),B1
1257,incredibile,(agg.),B1
1258,incrocio,(s.m.),B1
1259,incubo,(s.m.),B1
1260,indifferente,(agg.),B1
1261,indimenticabile,(agg.),B1
1262,infatti,(cong.),B1
1263,infine,(avv.),B1
1264,informare,(v.t.),B1
1265,innamorarsi,(v.int. pron.),B1
1266,inoltre,(avv.),B1
1267,insipido,(agg.),B1
1268,insomma,(avv.),B1
1269,interessarsi,(v.int.pron.),B1
1270,introverso,(agg.),B1
1271,invece,(cong.),B1
1272,inventare,(v.t.),B1
1273,inviare,(v.t.),B1
1274,istituto,(s.m.),B1
1275,ladro/a,(s.m. – s.f.),B1
1276,laurea,(s.f.),B1
1277,laurearsi,(v.int.pron.),B1
1278,lentamente,(avv.),B1
1279,leone,(s.m.),B1
1280,liceo,(s.m.),B1
1281,linea,(s.f.),B1
1282,liquido,(agg.),B1
1283,lirica,(agg. - s.f.),B1
1284,locale,(s.m.),B1
1285,lotto,(s.m.),B1
1286,lupo,(s.m.),B1
1287,maestro/a,(s.m. - s.f.),B1
1288,maggiore,(agg.),B1
1289,magnifico,(agg.),B1
1290,malattia,(s.f.),B1
1291,mancare,(v.int.),B1
1292,mandare,(v.t.),B1
1293,marca,(s.f.),B1
1294,marciapiede,(s.m.),B1
1295,master,(s.m.),B1
1296,massimo,(agg.),B1
1297,medio,(agg.),B1
1298,mensile,(s.m.),B1
1299,mensola,(s.f.),B1
1300,mentre,(cong.),B1
1301,meraviglioso,(agg.),B1
1302,metallo,(s.m.),B1
1303,metropoli,(s.f.),B1
1304,migliorare,(v.t. - v.int.),B1
1305,migliore,(agg.),B1
1306,minimo,(agg.),B1
1307,minore,(agg.),B1
1308,mite,(agg.),B1
1309,modo,(s.m.),B1
1310,modulo,(s.m.),B1
1311,moneta,(s.f.),B1
1312,monolocale,(s.m.),B1
1313,morte,(s.f.),B1
1314,motivo,(s.m.),B1
1315,motore,(s.m.),B1
1316,musicale,(agg.),B1
1317,nascondere,(v.t.),B1
1318,naturale,(agg.),B1
1319,navigare,(v.int.),B1
1320,ne,(part. pron.),B1
1321,né,(cong.),B1
1322,neanche,(avv - cong.),B1
1323,necessario,(agg.),B1
1324,negativo,(agg.),B1
1325,notizia,(s.f.),B1
1326,novità,(s.f.),B1
1327,obbligatorio,(agg.),B1
1328,occasione,(s.f.),B1
1329,occupare/si,(v.t. - v. int. pron.),B1
1330,odiare,(v.t.),B1
1331,odio,(s.m.),B1
1332,offerta,(s.f.),B1
1333,onesto,(agg.),B1
1334,opera,(s.f.),B1
1335,opinione,(s.f.),B1
1336,oppure,(cong.),B1
1337,ordine,(s.m.),B1
1338,orribile,(agg.),B1
1339,ospitalità,(s.f.),B1
1340,osservare,(v.t.),B1
1341,ottimista,(agg.),B1
1342,ottimo,(agg.),B1
1343,ovale,(agg.),B1
1344,paese,(s.m.),B1
1345,parere,(s.m.),B1
1346,partecipare,(v.int.),B1
1347,particolarmente,(avv.),B1
1348,passaggio,(s.m.),B1
1349,passione,(s.f.),B1
1350,pazienza,(s.f.),B1
1351,pediatra,(s.m. - s.f.),B1
1352,pedonale,(agg.),B1
1353,peggio,(avv. - agg.),B1
1354,peggiorare,(v.t.),B1
1355,peggiore,(agg.),B1
1356,perciò,(cong.),B1
1357,perfetto,(agg.),B1
1358,periodo,(s.m.),B1
1359,permesso,(s.m.),B1
1360,però,(cong.),B1
1361,pesare,(v.t.),B1
1362,pessimista,(agg.),B1
1363,pessimo,(agg.),B1
1364,phon,(s.m.),B1
1365,piacevole,(agg.),B1
1366,piccante,(agg.),B1
1367,piegare/si,(v.t. - v. rifl.),B1
1368,pillola,(s.f.),B1
1369,pittore/trice,(s.m. - s.f.),B1
1370,pittura,(s.f.),B1
1371,piuttosto,(avv.),B1
1372,pizzico,(s.m.),B1
1373,plastica,(s.f.),B1
1374,poesia,(s.f.),B1
1375,poeta/essa,(s.m. - s.f.),B1
1376,pompiere,(s.m.),B1
1377,pop,(s.m. - agg.),B1
1378,porto,(s.m.),B1
1379,positivo,(agg.),B1
1380,possibilità,(s.f.),B1
1381,postino,(s.m.),B1
1382,praticamente,(avv.),B1
1383,pratico,(agg.),B1
1384,precedente,(agg.),B1
1385,prefisso,(s.m.),B1
1386,pregare,(v.t.),B1
1387,premere,(v.t.),B1
1388,preposizione,(s.f.),B1
1389,presentare,(v.t.),B1
1390,preside,(s.m. - s.f.),B1
1391,prestare,(v.t.),B1
1392,previsione,(s.f.),B1
1393,prezzemolo,(s.m.),B1
1394,probabile,(agg.),B1
1395,prodotto,(s.m.),B1
1396,profondo,(agg.),B1
1397,promettere,(v.t.),B1
1398,promuovere,(v.t.),B1
1399,pronome,(s.m.),B1
1400,pronuncia,(s.f.),B1
1401,proporre,(v.t.),B1
1402,proprio,(avv.),B1
1403,protagonista,(s.m. - s.f.),B1
1404,pubblicità,(s.f.),B1
1405,pulizia,(s.f.),B1
1406,pure,(cong.),B1
1407,purtroppo,(avv.),B1
1408,quadrato,(agg.),B1
1409,qualsiasi,(pron. - agg.),B1
1410,quartiere,(s.m.),B1
1411,questura,(s.f.),B1
1412,quindi,(avv. - cong.),B1
1413,quotidiano,(s.m.),B1
1414,racchetta,(s.f.),B1
1415,raccogliere,(v.t.),B1
1416,raccomandata,(s.f.),B1
1417,raccontare,(v.t.),B1
1418,raramente,(avv.),B1
1419,regista,(s.m. - s.f.),B1
1420,rendere,(v.t.),B1
1421,reparto,(s.m.),B1
1422,restituire,(v.t.),B1
1423,rettangolare,(agg.),B1
1424,rettore,(s.m.),B1
1425,riassumere,(v.t.),B1
1426,ricetta,(s.f.),B1
1427,ricordo,(s.m.),B1
1428,ringraziare,(v.t.),B1
1429,riparare,(v.t.),B1
1430,risultato,(s.m.),B1
1431,ritirare,(v.t.),B1
1432,riuscire,(v.int.),B1
1433,rivista,(s.f.),B1
1434,rock,(s.m.),B1
1435,romantico,(agg.),B1
1436,romanzo,(s.m.),B1
1437,rompere/si,(v.t. - v.t. pron.),B1
1438,rotondo,(agg.),B1
1439,rubare,(v.t.),B1
1440,ruota,(s.f.),B1
1441,sacco,(s.m.),B1
1442,salire,(v.t. - v.int.),B1
1443,salita,(s.f.),B1
1444,saltare,(v.t. - v.int.),B1
1445,salutare,(v.t.),B1
1446,sano,(agg.),B1
1447,sapore,(s.m.),B1
1448,sbagliare/si,(v.t. - v.int. - v.int. pron.),B1
1449,sbucciare,(v.t.),B1
1450,scaffale,(s.m.),B1
1451,scaricare,(v.t.),B1
1452,scendere,(v.t. - v.int.),B1
1453,schiera,(s.f.),B1
1454,schifo,(s.m.),B1
1455,sciopero,(s.m.),B1
1456,sciroppo,(s.m.),B1
1457,sconto,(s.m.),B1
1458,scoprire,(v.t.),B1
1459,scrittore/trice,(s.m. - s.f.),B1
1460,scultore/trice,(s.m. - s.f.),B1
1461,scultura,(s.f.),B1
1462,sdraiare/si,(v. t. - v. rifl.),B1
1463,secco,(agg.),B1
1464,secolo,(s.m.),B1
1465,seguente,(agg.),B1
1466,semplice,(agg.),B1
1467,sennò,(cong.),B1
1468,serata,(s.f.),B1
1469,sereno,(agg.),B1
1470,servire,(v. int.),B1
1471,settimanale,(s.m.),B1
1472,sfortuna,(s.f.),B1
1473,sia,(cong.),B1
1474,siccome,(cong.),B1
1475,sicuramente,(avv.),B1
1476,sito,(s.m.),B1
1477,situazione,(s.f.),B1
1478,smettere,(v.t.),B1
1479,sms,(s.m.),B1
1480,socievole,(agg.),B1
1481,soggetto,(s.m.),B1
1482,sognare,(v.t.),B1
1483,sogno,(s.m.),B1
1484,solido,(agg.),B1
1485,soltanto,(avv.),B1
1486,soprattutto,(avv.),B1
1487,sottile,(agg.),B1
1488,spaventare,(v.t.),B1
1489,spaventoso,(agg.),B1
1490,speciale,(agg.),B1
1491,specialmente,(avv.),B1
1492,spettabile,(agg.),B1
1493,spicchio,(s.m.),B1
1494,spostare,(v.t.),B1
1495,stage,(s.m.),B1
1496,stampare,(v.t.),B1
1497,stendere/si,(v.t. - v.rifl.),B1
1498,stomaco,(s.m.),B1
1499,stress,(s.m.),B1
1500,stressare,(v.t.),B1
1501,successo,(s.m.),B1
1502,superare,(v.t.),B1
1503,svolgere,(v.t.),B1
1504,talk-show,(s.m.),B1
1505,telefilm,(s.m.),B1
1506,telegiornale,(s.m.),B1
1507,tenero,(agg.),B1
1508,terminare,(v.t.),B1
1509,termometro,(s.m.),B1
1510,termosifone,(s.m.),B1
1511,terribile,(agg.),B1
1512,tigre,(s.f.),B1
1513,tipo,(s.m.),B1
1514,titolo,(s.m.),B1
1515,tombola,(s.f.),B1
1516,torre,(s.f.),B1
1517,tostapane,(s.m.),B1
1518,totale,(s.m.),B1
1519,tradurre,(v.t.),B1
1520,tragedia,(s.f.),B1
1521,tramonto,(s.m.),B1
1522,trasferirsi,(v.int. pron.),B1
1523,traslocare,(v.int.),B1
1524,trasloco,(s.m.),B1
1525,trasmissione,(s.f.),B1
1526,trasparente,(agg.),B1
1527,trasportare,(v.t.),B1
1528,trovare/si,(v.t. - v.int. pron.),B1
1529,tuttavia,(cong.),B1
1530,ubriacarsi,(v.int.pron.),B1
1531,ubriaco,(agg.),B1
1532,ulteriore,(agg.),B1
1533,umido,(agg.),B1
1534,umore,(s.m.),B1
1535,unico,(agg.),B1
1536,utilizzare,(v.t.),B1
1537,vaglia,(s.m.),B1
1538,vagone,(s.m.),B1
1539,variabile,(agg.),B1
1540,velocemente,(avv.),B1
1541,versare,(v.t.),B1
1542,verso,(prep.),B1
1543,vietare,(v.t.),B1
1544,vigile/ssa,(s.m. - s.f.),B1
1545,villa,(s.f.),B1
1546,villaggio,(s.m.),B1
1547,vincere,(v.t. - v.int.),B1
1548,vita,(s.f.),B1
1549,vivo,(agg.),B1
1550,volentieri,(avv.),B1
1551,abbandonare,(v.t.),B2
1552,abbassare,(v.t.),B2
1553,abbondante,(agg.),B2
1554,abile,(agg.),B2
1555,abilità,(s.f.),B2
1556,abitazione,(s.f.),B2
1557,abituarsi,(v. rifl.),B2
1558,abitudine,(s.f.),B2
1559,accadere,(v.int.),B2
1560,accarezzare,(v.t.),B2
1561,accelerare,(v.int.),B2
1562,accettare,(v.t.),B2
1563,accidenti,(inter.),B2
1564,accogliere,(v.t.),B2
1565,accorgersi,(v.int.pron.),B2
1566,accusare,(v.t.),B2
1567,adatto,(agg.),B2
1568,addetto/a,(s.m. - s.f.),B2
1569,adolescente,(s.m. - s.f.),B2
1570,adoperare,(v.t.),B2
1571,adorare,(v.t.),B2
1572,adottare,(v.t.),B2
1573,affare,(s.m.),B2
1574,affatto,(avv.),B2
1575,affermare,(v.t.),B2
1576,affermazione,(s.f.),B2
1577,affinché,(cong.),B2
1578,affrontare,(v.t.),B2
1579,agio,(s.m.),B2
1580,agricoltura,(s.f.),B2
1581,agriturismo,(s.m.),B2
1582,alimentazione,(s.f.),B2
1583,allarme,(s.m.),B2
1584,allontanarsi,(v.int.pron.),B2
1585,altrettanto,(agg.),B2
1586,altrimenti,(avv.),B2
1587,ambiente,(s.m.),B2
1588,ammazzare,(v.t.),B2
1589,ammettere,(v.t.),B2
1590,amministratore/trice,(s.m. - s.f.),B2
1591,ammirare,(v.t.),B2
1592,ampio,(agg.),B2
1593,andarsene,(v. int. pron.),B2
1594,annullare,(v.t.),B2
1595,appartenere,(v.int.),B2
1596,apprezzare,(v.t.),B2
1597,argomento,(s.m.),B2
1598,arma,(s.f.),B2
1599,armonia,(s.f.),B2
1600,arrestare,(v.t.),B2
1601,artificiale,(agg.),B2
1602,artigianato,(s.m.),B2
1603,asma,(s.f.),B2
1604,aspettare/si,(v.t. – v.t. pron.),B2
1605,aspetto,(s.m.),B2
1606,assassino/a,(s.m. - s.f),B2
1607,assente,(agg.),B2
1608,assenza,(s.f.),B2
1609,assicurare,(v.t.),B2
1610,assicurazione,(s.f.),B2
1611,associazione,(s.f.),B2
1612,assomigliare,(v.int.),B2
1613,assumere,(v.t.),B2
1614,assurdo,(agg.),B2
1615,atteggiamento,(s.m.),B2
1616,attentato,(s.m.),B2
1617,attimo,(s.m.),B2
1618,attività,(s.f.),B2
1619,attraverso,(prep.),B2
1620,augurare/si,(v.t. - v.t. pron.),B2
1621,aumentare,(v.t. - v. int.),B2
1622,aumento,(s.m.),B2
1623,autentico,(agg.),B2
1624,autore/trice,(s.m.),B2
1625,avvertire,(v.t.),B2
1626,avvicinarsi,(v. int. pron.),B2
1627,azienda,(s.f.),B2
1628,azione,(s.f.),B2
1629,base,(s.f.),B2
1630,bastare,(v.int.),B2
1631,beato,(agg.),B2
1632,bellezza,(s.f.),B2
1633,benché,(cong.),B2
1634,boh,(inter.),B2
1635,bolletta,(s.f.),B2
1636,bollettino,(s.m.),B2
1637,bomba,(s.f.),B2
1638,bonifico,(s.m.),B2
1639,brano,(s.m.),B2
1640,bugia,(s.f.),B2
1641,cadavere,(s.m.),B2
1642,calcolare,(v.t.),B2
1643,cantiere,(s.m.),B2
1644,capacità,(s.f.),B2
1645,capitale,(s.m.- s.f.),B2
1646,capitare,(v.int.),B2
1647,carabiniere,(s.m.),B2
1648,carattere,(s.m.),B2
1649,carcere,(s.m.),B2
1650,carriera,(s.f.),B2
1651,caso,(s.m.),B2
1652,catturare,(v.t.),B2
1653,cavarsela,(v.t. pron.),B2
1654,cavolo,(inter.),B2
1655,celibe,(agg.),B2
1656,certificato,(s.m.),B2
1657,chissà,(avv.),B2
1658,chiunque,(pron.),B2
1659,ciascuno,(pron.),B2
1660,cieco,(agg. - s.m.),B2
1661,cima,(s.f.),B2
1662,ciò,(pron.),B2
1663,citare,(v.t.),B2
1664,cittadinanza,(s.f.),B2
1665,coda,(s.f.),B2
1666,cogliere,(v.t.),B2
1667,collaboratore/trice,(s.m. - s.f.),B2
1668,collocamento,(s.m.),B2
1669,colpevole,(agg. - s.m. - s.f.),B2
1670,combattere,(v.t. - v.int.),B2
1671,commentare,(v.t.),B2
1672,commento,(s.m.),B2
1673,commercio,(s.m.),B2
1674,complesso,(agg.),B2
1675,comportamento,(s.m.),B2
1676,comprendere,(v.t.),B2
1677,concentrare/si,(v.t - v. rifl.),B2
1678,concorrenza,(s.f.),B2
1679,concludere,(v.t.),B2
1680,conclusione,(s.f.),B2
1681,condannare,(v.t.),B2
1682,condividere,(v.t.),B2
1683,condizione,(s.f.),B2
1684,conferenza,(s.f.),B2
1685,confermare,(v.t.),B2
1686,confrontare,(v.t.),B2
1687,confronto,(s.m.),B2
1688,coniugare,(v.t.),B2
1689,coniuge,(s.m. - s.f.),B2
1690,conseguenza,(s.f.),B2
1691,considerare,(v.t.),B2
1692,considerazione,(s.f.),B2
1693,consonante,(s.f.),B2
1694,contare,(v.t. - v.int),B2
1695,contatto,(s.m.),B2
1696,contemporaneamente,(avv.),B2
1697,continuamente,(avv.),B2
1698,contrario,(s.m.),B2
1699,contratto,(s.m.),B2
1700,contro,(prep.),B2
1701,controllare,(v.t.),B2
1702,convincere,(v.t.),B2
1703,convivente,(s.m - s.f.),B2
1704,cortesia,(s.f.),B2
1705,costringere,(v.t.),B2
1706,creare,(v.t.),B2
1707,crescere,(v.int.),B2
1708,criminale,(s.m.),B2
1709,crisi,(s.f.),B2
1710,criticare,(v.t.),B2
1711,cronaca,(s.f.),B2
1712,cura,(s.f.),B2
1713,curarsi,(v.rifl.),B2
1714,danno,(s.m.),B2
1715,dato,(s.m.),B2
1716,debito,(s.m.),B2
1717,decisione,(s.f.),B2
1718,deludere,(v.t.),B2
1719,delusione,(s.f.),B2
1720,democrazia,(s.f.),B2
1721,denuncia,(s.f.),B2
1722,denunciare,(v.t.),B2
1723,deserto,(s.m.),B2
1724,desiderare,(v.t.),B2
1725,desiderio,(s.m.),B2
1726,destinatario,(s.m),B2
1727,detestare,(v.t.),B2
1728,diavolo,(s.m.),B2
1729,dichiarare,(v.t.),B2
1730,difendere,(v.t.),B2
1731,difetto,(s.m.),B2
1732,differenza,(s.f.),B2
1733,difficoltà,(s.f.),B2
1734,diminuire,(v.int.),B2
1735,dimostrare,(v.t.),B2
1736,Dio,(s.m.),B2
1737,dipendente,(s.m - s.f.),B2
1738,dipendenza,(s.f.),B2
1739,dirigente,(s.m.- s.f.),B2
1740,disabile,(agg.),B2
1741,discorso,(s.m.),B2
1742,discussione,(s.f.),B2
1743,discutere,(v.t.),B2
1744,disgustoso,(agg.),B2
1745,distanza,(s.f.),B2
1746,disturbare,(v.t.),B2
1747,dividere,(v.t.),B2
1748,divieto,(s.m.),B2
1749,dottorato,(s.m.),B2
1750,dovunque,(avv.),B2
